OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-04-07T05:06:00.069120,13.76538526,.00266785,90.2194,70.1046,142.1170,228.6725,0,U,900,999,6166,.78669737E-3,.781E-5,0
CALSPHERE 2,1964-063E,2026-04-07T04:01:34.206528,13.52894530,.00205975,90.2314,74.0970,75.1668,296.5024,0,U,902,999,84666,.43969161E-4,.38E-6,0
LCS 1,1965-034C,2026-04-06T23:34:35.689728,9.89309961,.001334,32.1469,346.0919,229.9864,129.9463,0,U,1361,999,20283,.56963E-3,.13E-6,0
TEMPSAT 1,1965-065E,2026-04-07T07:15:50.245632,13.33590934,.00715609,89.9990,212.5807,88.0090,300.7857,0,U,1512,999,95060,.73328199E-4,.46E-6,0
CALSPHERE 4A,1965-065H,2026-04-07T00:27:42.164928,13.36265008,.00678746,89.8980,123.1973,305.4338,138.0718,0,U,1520,999,95320,.19078387E-3,.108E-5,0
OPS 5712 (P/L 160),1967-053A,2026-04-07T06:54:45.518976,14.76801706,.00024953,69.9172,211.9328,224.1032,135.9917,0,U,2826,999,5576,.14649288E-2,.10231E-3,0
LES-5,1967-066E,2026-04-06T18:39:34.093152,1.09425007,.00550268,2.4582,98.5002,210.9656,337.8530,0,U,2866,999,13025,0,-.44E-6,0
SURCAL 159,1967-053F,2026-04-07T02:51:34.904736,13.99584868,.00086303,69.9735,153.8625,224.7279,135.3133,0,U,2872,999,26,.10215538E-3,.96E-6,0
OPS 5712 (P/L 153),1967-053H,2026-04-07T03:47:56.673312,13.96817930,.00099275,69.9726,267.5487,282.8511,77.1485,0,U,2874,999,99686,.72399737E-4,.47E-6,0
OPS 3811 (DSP 2),1971-039A,2026-04-07T05:19:03.404352,0.98160583,.00227166,0.2517,18.5026,275.8634,211.5334,0,U,5204,999,20553,0,-.16E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-04-07T06:37:08.322528,14.37789216,.00620987,87.6275,358.4929,107.3020,253.4986,0,U,5398,999,86369,.27009778E-3,.85E-5,0
OSCAR 7 (AO-7),1974-089B,2026-04-07T00:49:03.495936,12.53696899,.00118686,101.9951,109.5292,266.7478,113.7587,0,U,7530,999,35160,-.4119161E-4,-.53E-6,0
STARLETTE,1975-010A,2026-04-07T05:51:40.363488,13.82349347,.02056494,49.8259,24.6152,188.6730,171.0586,0,U,7646,999,58472,.4279981E-5,-.136E-5,0
LAGEOS 1,1976-039A,2026-04-07T03:28:28.871040,6.38664837,.00446707,109.8104,155.0248,317.4965,55.8389,0,U,8820,999,90860,0,-.4E-7,0
OPS 8701 (DSP 10),1982-019A,2026-04-07T05:04:04.373472,0.98190687,.00041591,9.4349,309.7366,326.4443,197.6552,0,U,13086,999,2496,0,-.112E-5,0
PHASE 3B (AO-10),1983-058B,2026-04-05T12:41:28.213728,2.05871341,.6036994,25.9038,231.7114,95.5880,331.7332,0,U,14129,999,29399,0,.142E-5,0
UOSAT 2 (UO-11),1984-021B,2026-04-07T03:17:10.627584,14.90614526,.00090642,97.7999,63.5422,64.3207,295.8946,0,U,14781,999,24654,.16819269E-3,.1592E-4,0
AJISAI (EGS),1986-061A,2026-04-07T05:59:04.126848,12.44515676,.00113934,50.0122,5.5279,0.4748,180.4672,0,U,16908,999,47155,.38579322E-4,-.92E-6,0
TDRS 3,1988-091B,2026-04-07T00:27:08.432640,1.00266801,.00419386,12.6564,341.4699,356.3944,175.1570,0,U,19548,999,12467,0,-.296E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-04-06T03:56:43.598400,2.13156111,.00233992,64.9053,74.6571,217.6577,279.9648,0,U,19751,999,28983,0,.7E-7,0
COSMOS 2024 (ETALON 2),1989-039C,2026-04-06T00:32:45.733056,2.13204700,.00204891,64.9781,313.0227,213.1088,320.9120,0,U,20026,999,28696,0,-.37E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-04-06T20:12:52.181568,1.00270324,.00079385,12.4416,351.5928,358.7728,273.7391,0,U,20253,999,25984,0,-.363E-5,0
LUSAT (LO-19),1990-005G,2026-04-07T07:06:56.901024,14.34100818,.00124877,98.8909,117.1312,57.4134,302.8254,0,U,20442,999,89223,.78188771E-4,.172E-5,0
HST,1990-037B,2026-04-06T23:54:19.084608,15.29965380,.00023341,28.4724,206.8372,83.4383,276.6479,0,U,20580,999,77765,.27928122E-3,.8574E-4,0
SKYNET 4C,1990-079A,2026-04-06T20:02:25.087776,1.00278020,.00033888,13.3630,350.2999,24.4180,154.4390,0,U,20776,999,13017,0,.13E-5,0
USA 65 (DSP 15),1990-095A,2026-04-06T18:09:00.421632,0.98396294,.00044461,14.0480,344.5400,68.9344,119.6798,0,U,20929,999,2476,0,.5E-7,0
TDRS 5,1991-054B,2026-04-07T05:30:45.366336,1.00280530,.00083697,14.0806,354.3026,278.4918,197.9260,0,U,21639,999,12700,0,.89E-6,0
USA 75 (DSP 16),1991-080B,2026-04-07T03:44:49.473024,0.99185910,.00038842,14.0423,346.0134,72.5599,117.7274,0,U,21805,999,2500,0,-.134E-5,0
LAGEOS 2,1992-070B,2026-03-20T02:10:27.910848,6.47293426,.0137714,52.6746,322.9737,148.3601,4.1736,0,U,22195,999,78965,0,-.9E-7,0
TDRS 6,1993-003B,2026-04-07T04:27:24.122304,1.00266461,.00051045,14.1821,357.5873,181.3692,37.3662,0,U,22314,999,12169,0,-.292E-5,0
SCD 1,1993-009B,2026-04-07T05:46:09.117984,14.46088150,.00420935,24.9696,285.6224,107.0456,53.2734,0,U,22490,999,75083,.10303473E-3,.563E-5,0
UFO 2 (USA 95),1993-056A,2026-04-06T21:23:52.891296,1.00269095,.0009558,11.8712,3.9423,322.3114,218.5834,0,U,22787,999,11783,0,.128E-5,0
STELLA,1993-061B,2026-04-07T06:06:30.043296,14.27468568,.0007479,98.7784,161.2316,84.7825,323.2489,0,U,22824,999,69465,.9523058E-5,-.22E-6,0
EYESAT A (AO-27),1993-061C,2026-04-07T03:59:44.836224,14.30923257,.00074651,98.6928,164.5901,314.0779,45.9789,0,U,22825,999,69684,.69347843E-4,.137E-5,0
ITAMSAT (IO-26),1993-061D,2026-04-07T04:00:30.022560,14.31348202,.00077891,98.6876,164.5010,295.2576,64.7799,0,U,22826,999,69715,.71811259E-4,.145E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-04-07T04:29:32.923968,1.00272454,.00038249,17.5125,28.4751,339.5600,164.8352,0,U,22988,999,3224,0,-.195E-5,0
RADIO ROSTO (RS15),1994-085A,2026-04-07T06:04:54.346656,11.27583820,.01537607,64.8174,57.9325,16.7451,343.8471,0,U,23439,999,28790,.81683356E-4,-.4E-6,0
UFO 4 (USA 108),1995-003A,2026-04-06T23:58:38.682912,1.00269806,.00034851,9.6990,13.4647,356.3605,357.4553,0,U,23467,999,11423,0,-.18E-6,0
TDRS 7,1995-035B,2026-04-06T18:45:24.166080,1.00267714,.00094008,13.4073,348.6815,55.8966,160.7821,0,U,23613,999,11253,0,-.234E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-04-01T10:05:27.602304,1.00275542,.00039388,14.0463,4.3204,354.5502,222.3022,0,U,23712,999,3211,0,-.27E-6,0
POLAR,1996-013A,2026-04-06T09:44:52.720800,1.29845731,.63980288,79.7839,227.8790,211.5290,85.6110,0,U,23802,999,14392,0,.119E-5,0
INMARSAT 3-F1,1996-020A,2026-04-07T05:22:39.000864,1.00000082,.00046375,10.4560,47.2761,306.3721,259.6638,0,U,23839,999,10954,0,-.213E-5,0
USA 119,1996-029A,2026-04-07T04:04:07.337568,13.46044717,.0847658,63.3234,17.9205,48.0880,318.9336,0,U,23893,999,9571,.52978632E-3,.3165E-4,0
JAS-2 (FO-29),1996-046B,2026-04-07T04:25:56.000352,13.53270758,.03488533,98.5331,315.7438,280.7304,75.4747,0,U,24278,999,46356,.38461744E-4,-.1E-7,0
INMARSAT 3-F2,1996-053A,2026-04-07T00:00:55.948320,0.99985764,.00064398,9.6980,54.6483,325.9947,34.3765,0,U,24307,999,10820,0,.117E-5,0
INMARSAT 3-F3,1996-070A,2026-04-06T18:23:58.089120,0.99987964,.00055102,10.1662,50.3232,300.7544,238.0748,0,U,24674,999,10719,0,-.348E-5,0
NAVSTAR 43 (USA 132),1997-035A,2026-04-06T21:42:43.524288,2.00564024,.0099056,55.9557,101.3604,56.1405,304.8189,0,U,24876,999,21052,0,.22E-6,0
FORTE,1997-047A,2026-04-07T04:54:07.872192,14.27915453,.00213171,69.9536,174.3487,7.5608,352.5831,0,U,24920,999,48855,.11600464E-3,.23E-5,0
AMC-3,1997-050A,2026-04-06T20:55:03.156384,1.00272858,.000332,7.9719,64.8859,311.8737,60.1566,0,U,24936,999,5172,0,-.258E-5,0
USA 134,1997-065A,2026-04-07T04:30:54.540000,1.00272062,.00061956,12.7011,22.2480,324.0488,164.4422,0,U,25019,999,3224,0,-.58E-6,0
ORBCOMM FM06,1997-084G,2026-04-07T06:42:19.156896,14.47383984,.00022988,45.0146,34.0157,307.3057,212.7209,0,U,25118,999,48411,.51328134E-3,.1755E-4,0
INMARSAT 3-F5,1998-006B,2026-04-07T05:33:39.036384,1.00271871,.00053256,9.5361,53.9491,327.3163,203.6778,0,U,25153,999,10318,0,-.286E-5,0
ORBCOMM FM04,1998-007C,2026-04-07T06:05:24.152928,14.35598073,.00385604,107.9603,23.4613,90.1709,270.3850,0,U,25159,999,46641,.4543472E-3,.119E-4,0
CELESTIS-02 & TAURUS R/B,1998-007D,2026-04-07T05:10:43.210560,14.22462944,.00637522,108.0035,189.0404,254.5938,126.1611,0,U,25160,999,46042,.80369745E-4,.53E-6,0
TECHSAT 1B (GO-32),1998-043D,2026-04-06T23:28:30.171072,14.24414236,.00022726,99.0054,87.9497,73.6389,286.5039,0,U,25397,999,44119,.64518285E-4,.103E-5,0
WESTPAC,1998-043E,2026-04-06T21:38:53.237184,14.23049261,.0002276,99.0104,81.2775,70.1495,289.9927,0,U,25398,999,44080,.17532E-4,-.7E-7,0
ORBCOMM FM19,1998-046C,2026-04-07T02:26:28.290912,14.39355752,.0003195,44.9932,221.4171,286.8969,244.1676,0,U,25415,999,44653,.52651E-3,.151E-4,0
ORBCOMM FM20,1998-046D,2026-04-07T01:56:40.263648,14.37961354,.00010531,44.9935,228.6637,233.5909,126.4842,0,U,25416,999,44655,.41600643E-3,.1127E-4,0
ORBCOMM FM27,1998-053G,2026-04-07T00:43:22.860480,14.39007204,.00003529,45.0062,313.2899,337.0706,23.0127,0,U,25481,999,43998,.4270906E-3,.1188E-4,0
SCD 2,1998-060A,2026-04-07T06:17:00.638880,14.45498812,.00170317,24.9941,149.5456,93.4961,326.0006,0,U,25504,999,45005,.74935624E-4,.451E-5,0
ISS (ZARYA),1998-067A,2026-04-07T00:53:47.949792,15.48812043,.00063437,51.6332,292.2025,281.0633,78.9642,0,U,25544,999,56072,.15734889E-3,.8175E-4,0
SWAS,1998-071A,2026-04-07T04:06:41.048352,15.09130137,.00063206,69.8973,50.5850,332.4410,27.6417,0,U,25560,999,48655,.31351405E-3,.4885E-4,0
ISS (UNITY),1998-069F,2026-04-07T00:53:47.949792,15.48812043,.00063437,51.6332,292.2025,281.0633,78.9642,0,U,25575,999,56045,.15734889E-3,.8175E-4,0
DLR-TUBSAT,1999-029B,2026-04-06T23:47:41.933184,14.52408524,.00137063,98.6687,90.1601,202.5268,157.5326,0,U,25757,999,42291,.4926082E-4,.152E-5,0
CXO,1999-040B,2026-04-07T23:25:36.920064,0.37800804,.79498416,55.0160,118.7490,310.6166,0.2827,0,U,25867,999,1706,0,.867E-5,0
ABS-6,1999-053A,2026-04-07T04:40:38.649792,1.00271879,.00030554,0.0535,89.2648,309.6060,25.7496,0,U,25924,999,9712,0,-.117E-5,0
NAVSTAR 46 (USA 145),1999-055A,2026-04-07T05:31:42.085344,2.00566093,.0106404,51.5279,298.5714,172.6215,354.2046,0,U,25933,999,19415,0,-.4E-6,0
UFO 10 (USA 146),1999-063A,2026-04-07T02:37:38.849952,1.00276073,.00048201,9.8529,27.5840,309.7293,234.6091,0,U,25967,999,9663,0,-.183E-5,0
ORBCOMM FM32,1999-065C,2026-04-07T04:09:30.632544,14.37025805,.00038262,45.0143,149.3472,56.6507,303.4707,0,U,25982,999,37687,.30640658E-3,.775E-5,0
XMM-NEWTON,1999-066A,2026-04-07T13:00:40.330944,0.50130634,.46979907,64.8440,283.8945,66.1561,0.0044,0,U,25989,999,2265,0,.102E-5,0
TERRA,1999-068A,2026-04-07T04:50:35.861280,14.61047438,.00036618,97.9534,149.5387,93.4204,309.1852,0,U,25994,999,39924,.11424676E-3,.517E-5,0
ASIASTAR,2000-016A,2026-04-06T20:11:38.606784,1.00270859,.0005117,8.9653,58.9046,328.7834,215.3618,0,U,26107,999,9520,0,-.329E-5,0
IMAGE,2000-017A,2026-04-05T08:20:51.719712,1.68665541,.74871739,94.1705,314.4020,296.1054,7.4855,0,U,26113,999,16027,.72044811E-2,.97E-6,0
USA 149 (DSP 20),2000-024A,2026-04-06T11:56:33.337248,1.00268735,.00015267,13.1178,12.3570,353.2505,203.0257,0,U,26356,999,3219,0,.98E-6,0
TDRS 8,2000-034A,2026-04-06T19:43:13.744704,1.00270099,.00058333,12.5731,31.9191,331.0591,212.7862,0,U,26388,999,9446,0,-.191E-5,0
ISS (ZVEZDA),2000-037A,2026-04-07T00:53:47.949792,15.48812043,.00063437,51.6332,292.2025,281.0633,78.9642,0,U,26400,999,56049,.15734889E-3,.8175E-4,0
NAVSTAR 48 (USA 151),2000-040A,2026-04-06T17:39:28.882080,2.00569374,.01221069,54.8671,217.9989,302.5066,230.3827,0,U,26407,999,18851,0,.7E-7,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-03-31T00:54:20.014560,0.44796982,.89530667,149.3581,38.1493,254.4502,0.4223,0,U,26410,999,1996,0,.2444E-4,0
CLUSTER II-FM8 (TANGO),2000-045B,2026-04-08T14:47:04.315488,0.44405211,.89683004,149.7289,40.1470,256.4108,0.7450,0,U,26464,999,1998,0,.6173E-4,0
NSS-11,2000-059A,2026-04-07T04:56:35.091744,1.00272431,.00031721,1.9429,82.2060,300.6386,62.7811,0,U,26554,999,4058,0,.28E-6,0
USA 153,2000-065A,2026-04-07T04:33:38.611872,1.00273759,.00035883,11.5044,35.9996,22.1991,340.2026,0,U,26575,999,3222,0,-.319E-5,0
AMC-6,2000-067A,2026-04-07T05:52:21.078624,1.00271767,.00037643,0.0661,61.6939,330.0454,116.8104,0,U,26580,999,9318,0,.91E-6,0
NAVSTAR 49 (USA 154),2000-071A,2026-04-07T02:03:38.504448,2.00569054,.01740447,55.5847,97.7609,266.0553,82.7919,0,U,26605,999,18608,0,.2E-6,0
ISS (DESTINY),2001-006B,2026-04-07T00:53:47.949792,15.48812043,.00063437,51.6332,292.2025,281.0633,78.9642,0,U,26700,999,56053,.15734889E-3,.8175E-4,0
ODIN,2001-007A,2026-04-07T01:52:24.231072,15.61626551,.00042493,97.4007,134.3388,81.5687,278.6052,0,U,26702,999,37826,.63841593E-3,.55058E-3,0
USA 157 (MILSTAR-2 2),2001-009A,2026-04-06T10:28:30.778176,1.00268597,.0037453,11.4648,20.2016,181.3328,0.3020,0,U,26715,999,3222,0,.113E-5,0
BSAT-2A,2001-011B,2026-04-07T01:13:38.785440,0.99179871,.00043923,10.5843,48.1346,239.6569,121.1699,0,U,26720,999,9127,0,-.47E-6,0
OMNI-M1,2001-026A,2026-04-02T07:10:16.480704,3.92401908,.00169402,44.8633,262.7500,37.5963,322.5250,0,U,26857,999,20259,0,-.28E-6,0
USA 159 (DSP 21),2001-033A,2026-04-06T12:47:38.753952,0.99202884,.00002828,12.7146,16.9172,31.3084,164.1060,0,U,26880,999,3224,0,-.118E-5,0
INTELSAT 902 (IS-902),2001-039A,2026-04-07T05:34:46.429248,1.00270781,.00044818,5.9394,72.6338,301.7203,214.7513,0,U,26900,999,8998,0,-.279E-5,0
PCSAT (NO-44),2001-043C,2026-04-07T04:41:48.259680,14.31928017,.00067958,67.0502,67.8834,264.4733,95.5594,0,U,26931,999,28028,.11811443E-3,.234E-5,0
PROBA-1,2001-049B,2026-04-07T05:45:27.478368,15.07216768,.00553562,97.9623,103.3024,4.3256,355.8438,0,U,26958,999,33293,.14297423E-3,.2157E-4,0
TIMED,2001-055B,2026-04-07T05:14:50.254080,14.95130484,.00025445,74.0710,17.8958,238.3653,121.7284,0,U,26998,999,32021,.16331117E-3,.1753E-4,0
MAROC-TUBSAT,2001-056D,2026-04-07T06:32:47.023008,13.70259432,.00193721,99.8045,272.8018,326.4574,212.5686,0,U,27004,999,21647,.23169742E-4,-.26E-6,0
COSMOS 2385,2001-058B,2026-04-07T06:19:04.070784,12.60563780,.00067014,82.5327,265.2057,41.8136,44.9503,0,U,27056,999,11684,-.31792889E-3,-.45E-6,0
COSMOS 2386,2001-058C,2026-04-06T22:56:23.359488,12.61615363,.00007421,82.5399,259.7643,121.1072,239.0092,0,U,27057,999,11752,.58960599E-4,.21E-6,0
USA 164 (MILSTAR-2 3),2002-001A,2026-04-06T23:03:43.316064,1.00272231,.01000559,11.0954,22.3322,6.1838,171.5561,0,U,27168,999,3224,0,.38E-6,0
INTELSAT 904 (IS-904),2002-007A,2026-04-07T05:22:39.000864,1.00272399,.00076318,6.7434,70.0222,328.9959,205.6807,0,U,27380,999,5105,0,-.221E-5,0
AQUA,2002-022A,2026-04-07T05:39:46.429920,14.62047375,.00015032,98.4222,65.1316,113.7367,11.4108,0,U,27424,999,27290,.24889964E-3,.12E-4,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-04-06T22:26:54.348000,1.00273115,.0003871,4.6960,76.1814,314.7560,30.9154,0,U,27426,999,8740,0,-.54E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-04-03T01:54:25.943616,1.00273159,.00032672,6.5662,70.6915,315.6989,56.4288,0,U,27438,999,5061,0,.94E-6,0
GALAXY 3C (G-3C),2002-030A,2026-04-07T06:50:45.271680,1.00271897,.00017476,3.5469,78.9481,21.6109,102.8344,0,U,27445,999,4578,0,-.149E-5,0
COSMOS 2390,2002-036A,2026-04-07T05:20:45.358944,12.44621002,.00266154,82.4882,29.3220,54.4678,305.8879,0,U,27464,999,7884,.14771189E-3,.31E-6,0
COSMOS 2391,2002-036B,2026-04-07T06:11:15.612576,12.44943723,.00274369,82.4882,25.8628,48.7430,311.6008,0,U,27465,999,7902,.55489444E-4,.18E-6,0
INTELSAT 906 (IS-906),2002-041A,2026-04-07T02:22:38.650944,1.00272661,.0003381,5.6233,73.7800,313.8012,267.6057,0,U,27513,999,8631,0,.17E-6,0
LATINSAT B,2002-058B,2026-04-07T04:44:44.373120,14.76927770,.00864828,64.5527,108.2266,283.8400,75.3092,0,U,27606,999,25161,.15218127E-3,.99E-5,0
SAUDISAT 1C (SO-50),2002-058C,2026-04-07T03:29:12.134976,14.82895602,.00755053,64.5548,348.7615,275.4295,83.8201,0,U,27607,999,25392,.16528789E-3,.1255E-4,0
LATINSAT A,2002-058H,2026-04-07T06:18:30.583008,14.85350528,.00559805,64.5547,181.8498,258.6859,100.7955,0,U,27612,999,25709,.16858364E-3,.1339E-4,0
NIMIQ 2,2002-062A,2026-04-06T22:27:09.322848,1.00273728,.0006577,9.2827,57.6362,320.8522,44.3393,0,U,27632,999,4347,0,-.65E-6,0
CORIOLIS,2003-001A,2026-04-07T00:39:01.139328,14.19924448,.00149939,98.7155,104.9924,60.5495,299.7176,0,U,27640,999,20412,.90211324E-4,.148E-5,0
