Az,El,Delta,Deldot,Calendar Date (UTC)
107.302267,-13.803764,1.30996852587102,-26.2459996,2026-04-05T21:48:06
107.474355,-13.641893,1.30995799929891,-26.2458324,2026-04-05T21:49:06
107.646476,-13.480174,1.309947472795,-26.2456596,2026-04-05T21:50:06
107.818635,-13.318609,1.30993694636152,-26.2454812,2026-04-05T21:51:06
107.990834,-13.157201,1.30992642000072,-26.2452972,2026-04-05T21:52:06
108.163075,-12.99595,1.30991589371483,-26.2451076,2026-04-05T21:53:06
108.33536,-12.834858,1.30990536750611,-26.2449124,2026-04-05T21:54:06
108.507693,-12.673927,1.30989484137678,-26.2447116,2026-04-05T21:55:06
108.680076,-12.513157,1.30988431532909,-26.2445053,2026-04-05T21:56:06
108.852512,-12.352551,1.30987378936528,-26.2442934,2026-04-05T21:57:06
109.025003,-12.19211,1.30986326348758,-26.2440758,2026-04-05T21:58:06
109.197551,-12.031836,1.30985273769824,-26.2438528,2026-04-05T21:59:06
109.37016,-11.871729,1.30984221199949,-26.2436241,2026-04-05T22:00:06
109.542831,-11.711792,1.30983168639356,-26.2433899,2026-04-05T22:01:06
109.715567,-11.552026,1.30982116088268,-26.2431501,2026-04-05T22:02:06
109.888372,-11.392433,1.3098106354691,-26.2429047,2026-04-05T22:03:06
110.061246,-11.233013,1.30980011015504,-26.2426538,2026-04-05T22:04:06
110.234193,-11.073769,1.30978958494273,-26.2423973,2026-04-05T22:05:06
110.407216,-10.914703,1.3097790598344,-26.2421353,2026-04-05T22:06:06
110.580316,-10.755815,1.30976853483228,-26.2418677,2026-04-05T22:07:06
110.753496,-10.597107,1.3097580099386,-26.2415945,2026-04-05T22:08:06
110.926758,-10.438581,1.30974748515558,-26.2413159,2026-04-05T22:09:06
111.100106,-10.280238,1.30973696048544,-26.2410316,2026-04-05T22:10:06
111.27354,-10.12208,1.30972643593041,-26.2407418,2026-04-05T22:11:06
111.447065,-9.964108,1.30971591149271,-26.2404465,2026-04-05T22:12:06
111.620682,-9.806324,1.30970538717456,-26.2401457,2026-04-05T22:13:06
111.794393,-9.64873,1.30969486297818,-26.2398393,2026-04-05T22:14:06
111.968201,-9.491326,1.30968433890578,-26.2395274,2026-04-05T22:15:06
112.142109,-9.334115,1.30967381495957,-26.23921,2026-04-05T22:16:06
112.316118,-9.177099,1.30966329114178,-26.2388871,2026-04-05T22:17:06
112.490231,-9.020277,1.30965276745461,-26.2385587,2026-04-05T22:18:06
112.664451,-8.863654,1.30964224390026,-26.2382247,2026-04-05T22:19:06
112.838779,-8.707228,1.30963172048096,-26.2378853,2026-04-05T22:20:06
113.013218,-8.551004,1.3096211971989,-26.2375403,2026-04-05T22:21:06
113.187771,-8.394981,1.30961067405629,-26.2371899,2026-04-05T22:22:06
113.362439,-8.239162,1.30960015105533,-26.236834,2026-04-05T22:23:06
113.537225,-8.083548,1.30958962819822,-26.2364726,2026-04-05T22:24:06
113.712131,-7.928141,1.30957910548715,-26.2361057,2026-04-05T22:25:06
113.887159,-7.772942,1.30956858292434,-26.2357333,2026-04-05T22:26:06
114.062313,-7.617952,1.30955806051195,-26.2353555,2026-04-05T22:27:06
114.237593,-7.463175,1.3095475382522,-26.2349722,2026-04-05T22:28:06
114.413002,-7.30861,1.30953701614727,-26.2345835,2026-04-05T22:29:06
114.588543,-7.15426,1.30952649419934,-26.2341893,2026-04-05T22:30:06
114.764218,-7.000127,1.3095159724106,-26.2337896,2026-04-05T22:31:06
114.940028,-6.846211,1.30950545078323,-26.2333846,2026-04-05T22:32:06
115.115977,-6.692515,1.30949492931942,-26.2329741,2026-04-05T22:33:06
115.292066,-6.539041,1.30948440802134,-26.2325581,2026-04-05T22:34:06
115.468297,-6.385789,1.30947388689116,-26.2321368,2026-04-05T22:35:06
115.644673,-6.232761,1.30946336593106,-26.23171,2026-04-05T22:36:06
115.821196,-6.07996,1.30945284514321,-26.2312778,2026-04-05T22:37:06
115.997868,-5.927386,1.30944232452978,-26.2308402,2026-04-05T22:38:06
116.174691,-5.775042,1.30943180409293,-26.2303973,2026-04-05T22:39:06
116.351667,-5.622928,1.30942128383482,-26.2299489,2026-04-05T22:40:06
116.528799,-5.471048,1.30941076375762,-26.2294952,2026-04-05T22:41:06
116.706088,-5.319401,1.30940024386348,-26.229036,2026-04-05T22:42:06
116.883537,-5.167991,1.30938972415455,-26.2285716,2026-04-05T22:43:06
117.061148,-5.016818,1.309379204633,-26.2281017,2026-04-05T22:44:06
117.238923,-4.865885,1.30936868530095,-26.2276265,2026-04-05T22:45:06
117.416864,-4.715193,1.30935816616057,-26.227146,2026-04-05T22:46:06
117.594973,-4.564743,1.30934764721399,-26.2266601,2026-04-05T22:47:06
117.773252,-4.414538,1.30933712846337,-26.2261689,2026-04-05T22:48:06
117.951703,-4.264579,1.30932660991081,-26.2256723,2026-04-05T22:49:06
118.130328,-4.114867,1.30931609155847,-26.2251705,2026-04-05T22:50:06
118.30913,-3.965405,1.30930557340847,-26.2246633,2026-04-05T22:51:06
118.48811,-3.816194,1.30929505546294,-26.2241509,2026-04-05T22:52:06
118.667271,-3.667236,1.309284537724,-26.2236331,2026-04-05T22:53:06
118.846614,-3.518533,1.30927402019378,-26.2231101,2026-04-05T22:54:06
