JDTDB,Calendar Date (TDB),delta-T,X,Y,Z,VX,VY,VZ,Calendar Date (UTC)
2461136.408310185, A.D. 2026-Apr-05 21:47:58.0000,69.185633,-144624527.7146736,-38319934.12461223,-16631114.19718172,9.296618215343038,-26.32415084902491,-10.40744532214777,2026-04-05T21:46:48.814377
2461136.40900463, A.D. 2026-Apr-05 21:48:58.0000,69.185633,-144623971.1634318,-38321515.21637704,-16631737.0682673,9.254607300158982,-26.37898590557205,-10.35543766036816,2026-04-05T21:47:48.814413
2461136.409699074, A.D. 2026-Apr-05 21:49:58.0000,69.185633,-144623417.2068821,-38323099.64399661,-16632356.92586433,9.210150790886965,-26.43533058608911,-10.30702403500879,2026-04-05T21:48:48.814369
2461136.410393518, A.D. 2026-Apr-05 21:50:58.0000,69.185633,-144622865.9883993,-38324687.49373401,-16632973.99000041,9.163360933722668,-26.49304114134785,-10.26235126600938,2026-04-05T21:49:48.814326
2461136.411087963, A.D. 2026-Apr-05 21:51:58.0000,69.185633,-144622317.6443966,-38326278.84294377,-16633588.48961184,9.11436056193599,-26.55196213358177,-10.22156747457297,2026-04-05T21:50:48.814362
2461136.411782407, A.D. 2026-Apr-05 21:52:58.0000,69.185633,-144621772.3035304,-38327873.75935701,-16634200.66203873,9.063282144023592,-26.61193101407908,-10.18480357015563,2026-04-05T21:51:48.814359
2461136.412476852, A.D. 2026-Apr-05 21:53:58.0000,69.185633,-144621230.0864838,-38329472.3008922,-16634810.75218368,9.01026065487888,-26.6727821744814,-10.15218213764405,2026-04-05T21:52:48.814395
2461136.413171296, A.D. 2026-Apr-05 21:54:58.0000,69.185633,-144620691.105552,-38331074.51540908,-16635419.01199362,8.955440516172498,-26.73434648936319,-10.12381429097516,2026-04-05T21:53:48.814352
2461136.413865741, A.D. 2026-Apr-05 21:55:58.0000,69.185633,-144620155.4641668,-38332680.44058643,-16636025.69965732,8.898971485151673,-26.79645438333727,-10.09979686937453,2026-04-05T21:54:48.814388
2461136.414560185, A.D. 2026-Apr-05 21:56:58.0000,69.185633,-144619623.2568356,-38334290.10395393,-16636631.0788933,8.841001224433262,-26.85893600733499,-10.08021997780222,2026-04-05T21:55:48.814344
2461136.41525463, A.D. 2026-Apr-05 21:57:58.0000,69.185633,-144619094.5690095,-38335903.52258641,-16637235.41879994,8.78168640514177,-26.92161158970442,-10.06517086836691,2026-04-05T21:56:48.814421
2461136.415949074, A.D. 2026-Apr-05 21:58:58.0000,69.185633,-144618569.4763019,-38337520.70252993,-16637838.9932701,8.721197621076072,-26.98429458032771,-10.05472032724948,2026-04-05T21:57:48.814377
2461136.416643518, A.D. 2026-Apr-05 21:59:58.0000,69.185633,-144618048.0438695,-38339141.63860949,-16638442.07984675,8.659711387052369,-27.04679795026706,-10.04892020023838,2026-04-05T21:58:48.814334
2461136.417337963, A.D. 2026-Apr-05 22:00:58.0000,69.185633,-144617530.3261923,-38340766.31437852,-16639044.95867201,8.597406476401584,-27.10893334926416,-10.04780404366703,2026-04-05T21:59:48.814370
2461136.418032407, A.D. 2026-Apr-05 22:01:58.0000,69.185633,-144617016.3671553,-38342394.70227529,-16639647.91135994,8.534456479943112,-27.17051943067701,-10.05139024590389,2026-04-05T22:00:48.814327
2461136.418726852, A.D. 2026-Apr-05 22:02:58.0000,69.185633,-144616506.2002262,-38344026.76392267,-16640251.22053582,8.471037726892188,-27.23137491600195,-10.05969412528267,2026-04-05T22:01:48.814403
2461136.419421296, A.D. 2026-Apr-05 22:03:58.0000,69.185633,-144615999.8479245,-38345662.44989491,-16640855.16943108,8.407339097623776,-27.29131324891451,-10.0727178561881,2026-04-05T22:02:48.814360
2461136.420115741, A.D. 2026-Apr-05 22:04:58.0000,69.185633,-144615497.3212477,-38347301.69967214,-16641460.04072195,8.343552545922128,-27.3501536599675,-10.09044159781008,2026-04-05T22:03:48.814396
2461136.420810185, A.D. 2026-Apr-05 22:05:58.0000,69.185633,-144614998.6198842,-38348944.44215371,-16642066.11560439,8.279863951855347,-27.40772187287357,-10.11283783714329,2026-04-05T22:04:48.814352
2461136.42150463, A.D. 2026-Apr-05 22:06:58.0000,69.185633,-144614503.7322997,-38350590.59567365,-16642673.67344168,8.216463580892995,-27.46383874293479,-10.1398717419698,2026-04-05T22:05:48.814389
2461136.422199074, A.D. 2026-Apr-05 22:07:58.0000,69.185633,-144614012.6352551,-38352240.06759781,-16643282.99098982,8.153549963555015,-27.51831863805959,-10.17148931905664,2026-04-05T22:06:48.814386
